# m_a(MeV) g_ee
2.75935617e+0 1.51605497e-5
2.81979295e+0 7.18655101e-7
2.89406693e+0 1.43677091e-5
2.95745421e+0 6.93029081e-7
3.03535422e+0 1.36097500e-5
3.10183604e+0 6.67025729e-7
3.18353910e+0 1.28793178e-5
3.25326654e+0 6.43862960e-7
3.33895831e+0 1.22175844e-5
3.41208982e+0 6.20004047e-7
3.50196504e+0 1.15730538e-5
3.57866680e+0 5.97895755e-7
3.67292969e+0 1.09731294e-5
3.75337600e+0 5.76575808e-7
3.85224077e+0 1.04093351e-5
3.93661445e+0 5.55747360e-7
4.04030575e+0 9.87450822e-6
4.12879852e+0 5.36189505e-7
4.23755200e+0 9.36263317e-6
4.33036495e+0 5.16819986e-7
4.44442774e+0 8.88158537e-6
4.54177179e+0 4.99114412e-7
4.66140307e+0 8.42525359e-6
4.76349942e+0 4.81316840e-7
4.88897107e+0 7.99623267e-6
4.99605172e+0 4.64378343e-7
5.12764884e+0 7.59639910e-6
5.23995714e+0 4.48252596e-7
5.37797878e+0 7.20958414e-6
5.49576992e+0 4.32059745e-7
5.64052974e+0 6.83915902e-6
5.76407140e+0 4.17257945e-7
5.91589834e+0 6.49404207e-6
6.04547126e+0 4.02768475e-7
6.20471033e+0 6.16634038e-6
6.34060895e+0 3.88406435e-7
6.50762201e+0 5.85234520e-6
6.65015516e+0 3.74918847e-7
6.82532174e+0 5.55433892e-6
6.97481330e+0 3.61899621e-7
7.15853145e+0 5.27405644e-6
7.31532113e+0 3.48994895e-7
7.50800833e+0 5.01033914e-6
7.67245243e+0 3.37038788e-7
7.87454655e+0 4.75750792e-6
8.04701875e+0 3.25649675e-7
8.25897903e+0 4.51306934e-6
8.43987126e+0 3.14037561e-7
8.66217936e+0 4.28947669e-6
8.85190268e+0 3.03279046e-7
9.08506379e+0 4.07105297e-6
9.28404933e+0 2.92889104e-7
9.52859328e+0 3.86561991e-6
9.73729322e+0 2.82718398e-7
9.99377571e+0 3.66700613e-6
1.02126643e+1 2.73032837e-7
1.04464015e+1 3.50788159e-6
1.07112428e+1 2.63679090e-7
1.09933794e+1 3.30625563e-6
1.12341618e+1 2.54399699e-7
1.15300721e+1 3.13941569e-6
1.17826095e+1 2.45684299e-7
1.20929660e+1 2.97955404e-6
1.23578321e+1 2.37382210e-7
1.26833402e+1 2.82920008e-6
1.29611370e+1 2.29139005e-7
1.33025363e+1 2.68643327e-6
1.35938950e+1 2.21396009e-7
1.39519612e+1 2.55087075e-6
1.42575439e+1 2.13811273e-7
1.46330908e+1 2.42097829e-6
1.49535920e+1 2.06386580e-7
1.53474730e+1 2.29770007e-6
1.56836209e+1 1.99508854e-7
1.60967310e+1 2.18175376e-6
1.64492895e+1 1.92673943e-7
1.68825675e+1 2.07065705e-6
1.72523378e+1 1.86253183e-7
1.77067683e+1 1.96521747e-6
1.80945906e+1 1.79872394e-7
1.85712062e+1 1.86514696e-6
1.89779619e+1 1.73962319e-7
1.94778457e+1 1.76846142e-6
1.99044591e+1 1.68002598e-7
2.04287470e+1 1.68003349e-6
2.08761875e+1 1.62482530e-7
2.14260710e+1 1.59371414e-6
2.18953553e+1 1.57067884e-7
2.24720839e+1 1.51329230e-6
2.29642785e+1 1.51907098e-7
2.35691628e+1 1.43554004e-6
2.40853862e+1 1.46844873e-7
2.47198007e+1 1.36178265e-6
2.52612260e+1 1.42088659e-7
2.59266123e+1 1.29181488e-6
2.64944698e+1 1.37287242e-7
2.71923400e+1 1.22484974e-6
2.77879201e+1 1.32840594e-7
2.85198601e+1 1.16304150e-6
2.91445162e+1 1.28600126e-7
2.99121893e+1 1.10275172e-6
3.05673408e+1 1.24434848e-7
3.13724914e+1 1.04609284e-6
3.20596272e+1 1.20462704e-7
3.29040849e+1 9.91865449e-7
3.36247664e+1 1.16617356e-7
3.45104503e+1 9.40903857e-7
3.52663152e+1 1.12894757e-7
3.61952379e+1 8.92560649e-7
3.69880038e+1 1.09343838e-7
3.79622761e+1 8.46292063e-7
3.87937446e+1 1.05955817e-7
3.98155806e+1 8.02034121e-7
4.06876410e+1 1.02672775e-7
4.17593626e+1 7.60458252e-7
4.26739968e+1 9.95395667e-8
4.37980394e+1 7.21037594e-7
4.47573257e+1 9.65486373e-8
4.59362437e+1 6.82669621e-7
4.69423619e+1 9.36023163e-8
4.81788343e+1 6.47594369e-7
4.92340708e+1 9.07459066e-8
5.05309073e+1 6.13727581e-7
5.16376602e+1 8.81469542e-8
5.29978077e+1 5.81350786e-7
5.41585918e+1 8.54983459e-8
5.55851413e+1 5.50948292e-7
5.68025945e+1 8.30496831e-8
5.82987876e+1 5.21883377e-7
5.95756763e+1 8.07101586e-8
6.11449130e+1 4.94590809e-7
6.24841390e+1 7.83607371e-8
6.41299853e+1 4.68046233e-7
6.55345918e+1 7.61533011e-8
6.72607877e+1 4.43140479e-7
6.87339666e+1 7.40796402e-8
7.05444347e+1 4.19762894e-7
7.20895337e+1 7.20276159e-8
7.39883882e+1 3.97426400e-7
7.56089183e+1 7.01340761e-8
7.76004742e+1 3.76096617e-7
7.93001181e+1 6.82243192e-8
8.13889010e+1 3.56255887e-7
8.31715208e+1 6.63986571e-8
8.53622773e+1 3.36809904e-7
8.72319240e+1 6.46843608e-8
8.95296325e+1 3.18579342e-7
9.14905546e+1 6.30447955e-8
9.39004363e+1 3.01189908e-7
9.59570900e+1 6.14467885e-8
9.84846213e+1 2.84749663e-7
1.00641680e+2 5.99762079e-8
1.03292604e+2 2.69206798e-7
1.05554970e+2 5.84559809e-8
1.08335312e+2 2.54266367e-7
1.10708125e+2 5.71121718e-8
1.13624202e+2 2.40271227e-7
1.16112855e+2 5.58532318e-8
1.19171294e+2 2.27156187e-7
1.21781442e+2 5.46484557e-8
1.24989193e+2 2.14238541e-7
1.27726768e+2 5.35213908e-8
1.31091119e+2 2.02153184e-7
1.33962342e+2 5.25190311e-8
1.37490940e+2 1.90657378e-7
1.40502334e+2 5.15852964e-8
1.44203197e+2 1.79815302e-7
1.47361607e+2 5.08153455e-8
1.51243144e+2 1.69344000e-7
1.54555746e+2 5.00810920e-8
1.58626779e+2 1.59174378e-7
1.62101101e+2 4.95726675e-8
1.66370881e+2 1.49905072e-7
1.70014818e+2 4.92357402e-8
1.74493046e+2 1.40698611e-7
1.78314879e+2 4.92331949e-8
1.83011733e+2 1.31802448e-7
1.87020146e+2 4.99015802e-8
1.91946299e+2 1.23289837e-7
1.96150401e+2 5.25227000e-8
2.01317047e+2 1.14217325e-7
2.03509778e+2 5.79969825e-8
2.09777315e+2 1.04605213e-7
2.07967149e+2 6.47328744e-8
2.12062194e+2 7.30237968e-8
2.14464873e+2 8.21877369e-8
2.15302896e+2 9.33011072e-8
